3 2313 4662
1 61 4.8070478516e+03 4.0126397705e+02
0 62 4.5184775391e+03 5.4212030029e+02
1 62 4.2054877930e+03 4.3910894775e+02
0 63 5.1821713867e+03 5.3005157471e+02
1 63 4.7846201172e+03 4.0132992554e+02
0 64 5.0402485352e+03 5.3211999512e+02
1 64 4.6603017578e+03 4.0861358643e+02
0 65 5.3043076172e+03 5.4295684814e+02
1 65 4.8915249023e+03 4.0971466064e+02
0 66 5.0058276367e+03 5.5188366699e+02
1 66 4.6302861328e+03 4.3074923706e+02
0 67 5.1135786133e+03 5.6902252197e+02
1 67 4.7243818359e+03 4.4393624878e+02
0 68 4.5312695313e+03 5.5925604248e+02
1 68 4.2174223633e+03 4.5677478027e+02
0 69 4.6106333008e+03 5.6805554199e+02
1 69 4.2869575195e+03 4.6222360229e+02
0 70 5.2592016602e+03 5.7292840576e+02
1 70 4.8526000977e+03 4.4228842163e+02
0 71 5.1785991211e+03 5.9743060303e+02
1 71 4.7831645508e+03 4.6991406250e+02
0 72 5.3480908203e+03 5.9293646240e+02
1 72 4.9318310547e+03 4.5897964478e+02
0 73 4.9256450195e+03 5.9404394531e+02
1 73 4.5606464844e+03 4.7675442505e+02
0 74 4.9620908203e+03 6.0825811768e+02
1 74 4.5928608398e+03 4.8988882446e+02
0 75 4.9261855469e+03 6.2498449707e+02
1 75 4.5622954102e+03 5.0795465088e+02
0 76 4.6694467773e+03 6.2188220215e+02
1 76 4.3382822266e+03 5.1481414795e+02
0 77 4.4329575195e+03 6.2420977783e+02
1 77 4.1327656250e+03 5.2591479492e+02
0 78 4.7013339844e+03 6.3110760498e+02
1 78 4.3662617188e+03 5.2295080566e+02
0 79 4.6473237305e+03 6.4911230469e+02
1 79 4.3203647461e+03 5.4284594727e+02
0 80 4.5539760742e+03 6.5009222412e+02
1 80 4.2396684570e+03 5.4763659668e+02
0 81 4.5274291992e+03 6.4247869873e+02
1 81 4.2155415039e+03 5.4117810059e+02
0 82 4.5419663086e+03 6.4863647461e+02
1 82 4.2279858398e+03 5.4646276855e+02
0 83 4.6910644531e+03 6.4599121094e+02
1 83 4.3581821289e+03 5.3810119629e+02
0 84 5.1045522461e+03 6.6341088867e+02
1 84 4.7191108398e+03 5.4039044189e+02
0 85 4.7457436523e+03 6.5839489746e+02
1 85 4.4049335938e+03 5.4906353760e+02
0 86 4.7540263672e+03 6.5605126953e+02
1 86 4.4130966797e+03 5.4646447754e+02
